Date,Adj close,Close,High,Low,Open,Volume
2013-01-06,4723.7998046875,4723.7998046875,4740.7001953125,4716.7998046875,4740.7001953125,0
2013-01-13,4709.5,4709.5,4734.60009765625,4704.2001953125,4723.5,0
2013-01-20,4771.2001953125,4771.2001953125,4782.60009765625,4756.60009765625,4756.60009765625,0
2013-01-27,4835.2001953125,4835.2001953125,4835.2001953125,4810.2001953125,4810.2001953125,0
2013-02-03,4921.10009765625,4921.10009765625,4922.60009765625,4878.7998046875,4878.7998046875,0
2013-02-10,4971.2998046875,4971.2998046875,4971.2998046875,4928.5,4932.89990234375,0
2013-02-17,5033.89990234375,5033.89990234375,5044.39990234375,5021.0,5031.89990234375,0
2013-02-24,5018.10009765625,5018.10009765625,5055.2998046875,4975.89990234375,4980.10009765625,0
2013-03-03,5086.10009765625,5086.10009765625,5104.10009765625,5062.10009765625,5104.10009765625,0
2013-03-10,5123.39990234375,5123.39990234375,5131.2001953125,5102.0,5109.2001953125,0
2013-03-17,5120.2001953125,5120.2001953125,5120.2001953125,5032.2001953125,5032.2001953125,0
2013-03-24,4967.2998046875,4967.2998046875,4983.60009765625,4927.89990234375,4956.2998046875,0
2013-03-31,4966.5,4966.5,4995.0,4966.5,4995.0,0
2013-04-07,4891.39990234375,4891.39990234375,4924.0,4883.7001953125,4919.89990234375,0
2013-04-14,5013.5,5013.5,5023.0,5006.10009765625,5006.5,0
2013-04-21,4931.89990234375,4931.89990234375,4960.39990234375,4918.39990234375,4924.39990234375,0
2013-04-28,5097.5,5097.5,5135.0,5097.39990234375,5113.89990234375,0
2013-05-05,5129.5,5129.5,5183.2001953125,5126.5,5130.0,0
2013-05-12,5206.10009765625,5206.10009765625,5242.5,5198.2001953125,5200.0,0
2013-05-19,5180.7998046875,5180.7998046875,5194.89990234375,5168.60009765625,5175.60009765625,0
2013-05-26,4983.5,4983.5,5083.5,4954.89990234375,5062.39990234375,0
2013-06-02,4926.60009765625,4926.60009765625,4962.89990234375,4922.7998046875,4942.2001953125,0
2013-06-09,4737.7001953125,4737.7001953125,4783.2998046875,4732.2998046875,4781.2001953125,0
2013-06-16,4791.7998046875,4791.7998046875,4792.60009765625,4695.7998046875,4695.7998046875,0
2013-06-23,4738.7998046875,4738.7998046875,4758.10009765625,4683.2998046875,4758.10009765625,0
2013-06-30,4802.60009765625,4802.60009765625,4833.39990234375,4795.60009765625,4811.2998046875,0
2013-07-07,4841.7001953125,4841.7001953125,4853.39990234375,4794.7001953125,4794.7001953125,564258800
2013-07-14,4973.89990234375,4973.89990234375,5012.5,4965.7001953125,4965.7001953125,0
2013-07-21,4972.10009765625,4972.10009765625,5010.10009765625,4962.10009765625,4993.39990234375,0
2013-07-28,5042.0,5042.0,5062.60009765625,5026.5,5035.60009765625,0
2013-08-04,5116.7998046875,5116.7998046875,5116.7998046875,5061.5,5061.5,627316300
2013-08-11,5055.2001953125,5055.2001953125,5076.7001953125,5023.10009765625,5064.7998046875,574094300
2013-08-18,5113.89990234375,5113.89990234375,5152.39990234375,5101.2998046875,5152.39990234375,699263800
